ano,semestre,data,regiao,uf,municipio,rede_ensino,serie,matriculados,evasoes,taxa_evasao,renda_media_familiar,indice_desempenho,acesso_internet,nivel_risco
2015,1,2015-06-01,Sudeste,SP,Ribeirão Preto,Privada,1º ano,33241,925,2.79,2010.0,53.6,77.4,Baixo
2015,1,2015-06-01,Sudeste,RJ,Rio de Janeiro,Pública,1º ano,49218,6147,12.49,2857.51,60.81,49.7,Alto
2015,1,2015-06-01,Sudeste,RJ,Rio de Janeiro,Privada,1º ano,21647,991,4.58,2827.33,60.2,49.1,Médio
2015,1,2015-06-01,Sudeste,RJ,Niterói,Pública,1º ano,39208,3990,10.18,3295.62,66.91,82.9,Alto
2015,1,2015-06-01,Sudeste,RJ,Niterói,Privada,3º ano,16833,1034,6.15,3091.5,59.75,91.3,Médio
2015,1,2015-06-01,Sudeste,RJ,Nova Iguaçu,Pública,1º ano,33145,2809,8.48,2505.75,75.39,60.8,Alto
2015,1,2015-06-01,Sudeste,RJ,Nova Iguaçu,Privada,2º ano,17300,821,4.75,4003.78,53.3,59.0,Médio
2015,1,2015-06-01,Sudeste,RJ,Petrópolis,Pública,1º ano,33953,2969,8.74,2718.16,66.31,47.6,Alto
2015,1,2015-06-01,Sudeste,RJ,Petrópolis,Privada,2º ano,25438,1686,6.63,3415.73,64.02,86.3,Médio
2015,1,2015-06-01,Sudeste,MG,Belo Horizonte,Pública,1º ano,35918,4011,11.17,4041.18,70.04,67.7,Alto
2015,1,2015-06-01,Sudeste,MG,Belo Horizonte,Privada,2º ano,47885,1579,3.3,1892.63,46.21,93.1,Baixo
2015,1,2015-06-01,Sudeste,MG,Uberlândia,Pública,1º ano,30111,3575,11.87,3217.86,45.01,66.9,Alto
2015,1,2015-06-01,Sudeste,MG,Uberlândia,Privada,1º ano,41088,1773,4.32,3334.06,83.18,93.8,Médio
2015,1,2015-06-01,Sudeste,MG,Juiz de Fora,Pública,3º ano,16100,1779,11.05,4060.06,59.68,94.8,Alto
2015,1,2015-06-01,Sudeste,MG,Juiz de Fora,Privada,1º ano,29638,433,1.46,3322.77,62.49,85.7,Baixo
2015,1,2015-06-01,Sudeste,ES,Vitória,Pública,3º ano,7615,669,8.79,3582.45,51.19,51.0,Alto
2015,1,2015-06-01,Sudeste,ES,Vitória,Privada,1º ano,27096,1032,3.81,2610.7,56.73,86.1,Baixo
2015,1,2015-06-01,Sudeste,ES,Vila Velha,Pública,1º ano,32268,3472,10.76,1561.46,71.85,90.0,Alto
2015,1,2015-06-01,Sudeste,ES,Vila Velha,Privada,3º ano,46537,1868,4.01,2879.78,59.84,51.6,Médio
2015,1,2015-06-01,Sudeste,ES,Serra,Pública,3º ano,24344,2576,10.58,2115.59,59.9,82.5,Alto
2015,1,2015-06-01,Sudeste,ES,Serra,Privada,2º ano,17294,740,4.28,2340.77,56.06,49.1,Médio
2015,1,2015-06-01,Sul,PR,Curitiba,Pública,1º ano,15600,1779,11.4,3287.18,70.95,63.8,Alto
2015,1,2015-06-01,Sul,PR,Curitiba,Privada,3º ano,34455,202,0.59,3816.74,78.02,76.0,Baixo
2015,1,2015-06-01,Sul,PR,Londrina,Pública,2º ano,25105,2125,8.47,3017.49,64.31,73.6,Alto
2015,1,2015-06-01,Sul,PR,Londrina,Privada,1º ano,40732,1623,3.99,2435.53,47.64,48.9,Baixo
2015,1,2015-06-01,Sul,SC,Florianópolis,Pública,1º ano,18964,1833,9.67,2420.58,49.05,93.7,Alto
2015,1,2015-06-01,Sul,SC,Florianópolis,Privada,2º ano,7431,338,4.55,1356.27,67.74,84.3,Médio
2015,1,2015-06-01,Sul,SC,Joinville,Pública,2º ano,21616,3007,13.91,2309.39,94.25,88.6,Crítico
2015,1,2015-06-01,Sul,SC,Joinville,Privada,3º ano,32072,2900,9.04,4597.91,47.04,47.3,Alto
2015,1,2015-06-01,Sul,RS,Porto Alegre,Pública,3º ano,49963,4071,8.15,2873.64,63.48,76.9,Alto
2015,1,2015-06-01,Sul,RS,Porto Alegre,Privada,2º ano,18782,737,3.93,3525.77,84.04,50.3,Baixo
2015,1,2015-06-01,Sul,RS,Caxias do Sul,Pública,1º ano,24646,2392,9.71,2047.22,74.51,66.4,Alto
2015,1,2015-06-01,Sul,RS,Caxias do Sul,Privada,2º ano,39028,1863,4.77,2537.03,69.38,66.2,Médio
2015,2,2015-12-01,Norte,AM,Manaus,Pública,3º ano,43150,5433,12.59,2191.11,58.87,70.0,Alto
2015,2,2015-12-01,Norte,AM,Manaus,Privada,1º ano,9826,345,3.51,3314.21,73.89,60.1,Baixo
2015,2,2015-12-01,Norte,PA,Belém,Pública,3º ano,15203,1525,10.04,3520.34,75.53,45.7,Alto
2015,2,2015-12-01,Norte,PA,Belém,Privada,3º ano,30101,2087,6.94,2068.15,62.13,48.7,Médio
2015,2,2015-12-01,Norte,PA,Santarém,Pública,3º ano,8952,977,10.92,1822.56,75.39,72.4,Alto
2015,2,2015-12-01,Norte,PA,Santarém,Privada,3º ano,45427,1448,3.19,1815.65,87.3,76.9,Baixo
2015,2,2015-12-01,Norte,RO,Porto Velho,Pública,1º ano,38824,2757,7.1,3956.35,68.45,58.4,Médio
2015,2,2015-12-01,Norte,RO,Porto Velho,Privada,3º ano,12525,62,0.5,2329.91,89.27,83.8,Baixo
2015,2,2015-12-01,Norte,TO,Palmas,Pública,3º ano,42069,3641,8.66,2449.58,43.56,90.0,Alto
2015,2,2015-12-01,Norte,TO,Palmas,Privada,1º ano,31341,501,1.6,3893.78,72.67,94.8,Baixo
2015,2,2015-12-01,Nordeste,BA,Salvador,Pública,1º ano,28772,3779,13.14,3716.92,49.39,70.3,Crítico
2015,2,2015-12-01,Nordeste,BA,Salvador,Privada,1º ano,9509,493,5.19,2144.66,80.39,49.4,Médio
2015,2,2015-12-01,Nordeste,BA,Feira de Santana,Pública,2º ano,6756,615,9.11,3100.24,53.74,48.1,Alto
2015,2,2015-12-01,Nordeste,BA,Feira de Santana,Privada,2º ano,44082,1787,4.06,3410.54,66.72,66.8,Médio
2015,2,2015-12-01,Nordeste,PE,Recife,Pública,3º ano,43106,4403,10.21,2961.73,51.16,72.8,Alto
2015,2,2015-12-01,Nordeste,PE,Recife,Privada,3º ano,14901,804,5.4,2657.65,72.75,91.3,Médio
2015,2,2015-12-01,Nordeste,PE,Jaboatão dos Guararapes,Pública,3º ano,35509,3840,10.82,2784.95,70.88,93.6,Alto
2015,2,2015-12-01,Nordeste,PE,Jaboatão dos Guararapes,Privada,2º ano,39347,2067,5.25,3011.37,36.31,59.2,Médio
2015,2,2015-12-01,Nordeste,CE,Fortaleza,Pública,2º ano,28477,1847,6.49,2008.81,63.69,66.9,Médio
2015,2,2015-12-01,Nordeste,CE,Fortaleza,Privada,2º ano,45180,1448,3.21,4069.13,66.37,73.5,Baixo
2015,2,2015-12-01,Nordeste,CE,Juazeiro do Norte,Pública,3º ano,49496,5055,10.21,3260.46,66.18,82.7,Alto
2015,2,2015-12-01,Nordeste,CE,Juazeiro do Norte,Privada,1º ano,12678,239,1.89,3127.06,78.83,55.9,Baixo
2015,2,2015-12-01,Nordeste,MA,São Luís,Pública,1º ano,21131,2374,11.24,3195.46,61.84,91.4,Alto
2015,2,2015-12-01,Nordeste,MA,São Luís,Privada,3º ano,23737,659,2.78,1978.2,80.9,55.5,Baixo
2015,2,2015-12-01,Nordeste,PB,João Pessoa,Pública,2º ano,49494,5080,10.26,2973.83,71.76,83.9,Alto
2015,2,2015-12-01,Nordeste,PB,João Pessoa,Privada,1º ano,30918,1253,4.05,3802.19,59.25,78.7,Médio
2015,2,2015-12-01,Centro-Oeste,DF,Brasília,Pública,3º ano,39713,5669,14.28,3176.8,74.41,50.6,Crítico
2015,2,2015-12-01,Centro-Oeste,DF,Brasília,Privada,2º ano,26956,1200,4.45,3341.35,83.96,57.1,Médio
2015,2,2015-12-01,Centro-Oeste,GO,Goiânia,Pública,1º ano,45866,4878,10.64,2042.78,66.83,73.7,Alto
2015,2,2015-12-01,Centro-Oeste,GO,Goiânia,Privada,2º ano,26176,1496,5.72,3519.93,72.13,87.1,Médio
2015,2,2015-12-01,Centro-Oeste,GO,Aparecida de Goiânia,Pública,2º ano,13614,1248,9.17,3523.6,57.36,46.6,Alto
2015,2,2015-12-01,Centro-Oeste,GO,Aparecida de Goiânia,Privada,3º ano,21982,745,3.39,2332.82,79.83,64.1,Baixo
2015,2,2015-12-01,Centro-Oeste,MT,Cuiabá,Pública,3º ano,34434,3313,9.62,2328.25,67.15,92.0,Alto
2015,2,2015-12-01,Centro-Oeste,MT,Cuiabá,Privada,3º ano,21584,1423,6.59,2235.47,75.76,70.1,Médio
2015,2,2015-12-01,Centro-Oeste,MS,Campo Grande,Pública,3º ano,30432,2623,8.62,1934.17,80.87,76.4,Alto
2015,2,2015-12-01,Centro-Oeste,MS,Campo Grande,Privada,3º ano,22494,1095,4.87,3379.39,91.05,55.7,Médio
2015,2,2015-12-01,Sudeste,SP,São Paulo,Pública,3º ano,28997,2805,9.67,1494.22,58.58,61.7,Alto
2015,2,2015-12-01,Sudeste,SP,São Paulo,Privada,2º ano,8210,328,4.0,2717.03,52.91,49.7,Baixo
2015,2,2015-12-01,Sudeste,SP,Campinas,Pública,3º ano,23088,3011,13.05,1723.68,65.01,58.4,Crítico
2015,2,2015-12-01,Sudeste,SP,Campinas,Privada,1º ano,10243,841,8.22,2530.33,40.9,62.7,Alto
2015,2,2015-12-01,Sudeste,SP,Ribeirão Preto,Pública,1º ano,10963,1589,14.5,2939.29,79.35,71.1,Crítico
2015,2,2015-12-01,Sudeste,SP,Ribeirão Preto,Privada,2º ano,34985,754,2.16,3231.49,71.24,68.5,Baixo
2015,2,2015-12-01,Sudeste,RJ,Rio de Janeiro,Pública,2º ano,37665,5186,13.77,2517.53,63.13,92.9,Crítico
2015,2,2015-12-01,Sudeste,RJ,Rio de Janeiro,Privada,3º ano,29071,1650,5.68,2444.61,75.37,88.7,Médio
2015,2,2015-12-01,Sudeste,RJ,Niterói,Pública,2º ano,24426,3958,16.21,2224.6,49.87,74.0,Crítico
2015,2,2015-12-01,Sudeste,RJ,Niterói,Privada,3º ano,12546,62,0.5,1472.12,74.77,66.3,Baixo
2015,2,2015-12-01,Sudeste,RJ,Nova Iguaçu,Pública,2º ano,23160,1586,6.85,2408.7,52.31,90.1,Médio
2015,2,2015-12-01,Sudeste,RJ,Nova Iguaçu,Privada,1º ano,37410,750,2.01,3027.73,59.91,57.6,Baixo
2015,2,2015-12-01,Sudeste,RJ,Petrópolis,Pública,2º ano,9708,834,8.59,2952.62,51.08,56.2,Alto
2015,2,2015-12-01,Sudeste,RJ,Petrópolis,Privada,3º ano,43262,638,1.48,462.35,42.57,72.6,Baixo
2015,2,2015-12-01,Sudeste,MG,Belo Horizonte,Pública,1º ano,33355,3197,9.59,1752.56,60.35,73.1,Alto
2015,2,2015-12-01,Sudeste,MG,Belo Horizonte,Privada,3º ano,8647,43,0.5,3453.66,72.77,94.4,Baixo
2015,2,2015-12-01,Sudeste,MG,Uberlândia,Pública,1º ano,46653,5529,11.85,3395.27,77.15,58.3,Alto
2015,2,2015-12-01,Sudeste,MG,Uberlândia,Privada,2º ano,21196,445,2.1,3328.36,64.58,92.6,Baixo
2015,2,2015-12-01,Sudeste,MG,Juiz de Fora,Pública,2º ano,10294,848,8.24,2058.28,76.78,86.7,Alto
2015,2,2015-12-01,Sudeste,MG,Juiz de Fora,Privada,2º ano,11907,386,3.25,2903.8,59.8,81.0,Baixo
2015,2,2015-12-01,Sudeste,ES,Vitória,Pública,2º ano,30349,2161,7.12,2093.96,57.0,71.4,Médio
2015,2,2015-12-01,Sudeste,ES,Vitória,Privada,3º ano,17873,332,1.86,2467.25,68.02,93.8,Baixo
2015,2,2015-12-01,Sudeste,ES,Vila Velha,Pública,2º ano,14805,1860,12.57,2513.51,55.82,80.9,Alto
2015,2,2015-12-01,Sudeste,ES,Vila Velha,Privada,1º ano,16715,1366,8.17,1982.55,55.87,56.6,Alto
2015,2,2015-12-01,Sudeste,ES,Serra,Pública,3º ano,31169,3342,10.73,3059.54,71.85,89.5,Alto
2015,2,2015-12-01,Sudeste,ES,Serra,Privada,2º ano,24989,1364,5.46,1783.43,65.83,85.5,Médio
2015,2,2015-12-01,Sul,PR,Curitiba,Pública,2º ano,35095,3521,10.03,2569.18,75.81,82.4,Alto
2015,2,2015-12-01,Sul,PR,Curitiba,Privada,1º ano,14312,748,5.23,2032.06,68.14,92.0,Médio
2015,2,2015-12-01,Sul,PR,Londrina,Pública,2º ano,48197,3759,7.8,3238.7,58.08,69.8,Médio
2015,2,2015-12-01,Sul,PR,Londrina,Privada,3º ano,48511,2304,4.75,2937.92,56.65,56.9,Médio
2015,2,2015-12-01,Sul,SC,Florianópolis,Pública,1º ano,6906,847,12.27,2327.24,62.45,60.7,Alto
2015,2,2015-12-01,Sul,SC,Florianópolis,Privada,1º ano,39059,905,2.32,1105.99,52.57,80.2,Baixo
2015,2,2015-12-01,Sul,SC,Joinville,Pública,2º ano,9524,1045,10.97,3234.97,36.44,88.1,Alto
2015,2,2015-12-01,Sul,SC,Joinville,Privada,1º ano,14857,403,2.72,2965.86,66.73,86.7,Baixo
2015,2,2015-12-01,Sul,RS,Porto Alegre,Pública,2º ano,34722,3274,9.43,3920.71,55.66,59.6,Alto
2015,2,2015-12-01,Sul,RS,Porto Alegre,Privada,2º ano,43096,305,0.71,1663.95,65.51,54.2,Baixo
2015,2,2015-12-01,Sul,RS,Caxias do Sul,Pública,3º ano,42584,3972,9.33,2960.3,59.55,58.7,Alto
2015,2,2015-12-01,Sul,RS,Caxias do Sul,Privada,1º ano,25462,1118,4.39,1994.27,83.97,84.7,Médio
2016,1,2016-06-01,Norte,AM,Manaus,Pública,3º ano,27868,3826,13.73,2683.01,86.9,59.5,Crítico
2016,1,2016-06-01,Norte,AM,Manaus,Privada,2º ano,48173,1149,2.39,4045.14,70.15,56.2,Baixo
2016,1,2016-06-01,Norte,PA,Belém,Pública,1º ano,8333,700,8.41,1526.88,73.4,80.1,Alto
2016,1,2016-06-01,Norte,PA,Belém,Privada,1º ano,14816,536,3.62,1739.17,67.6,71.4,Baixo
2016,1,2016-06-01,Norte,PA,Santarém,Pública,1º ano,16691,1426,8.55,3400.6,71.17,66.9,Alto
2016,1,2016-06-01,Norte,PA,Santarém,Privada,1º ano,35009,1690,4.83,1915.43,53.51,78.2,Médio
2016,1,2016-06-01,Norte,RO,Porto Velho,Pública,1º ano,5945,759,12.77,2514.31,67.89,75.0,Alto
2016,1,2016-06-01,Norte,RO,Porto Velho,Privada,3º ano,45734,917,2.01,2946.9,72.33,54.3,Baixo
2016,1,2016-06-01,Norte,TO,Palmas,Pública,2º ano,14824,1791,12.09,2799.04,65.31,49.6,Alto
2016,1,2016-06-01,Norte,TO,Palmas,Privada,2º ano,14177,523,3.69,4120.08,57.27,54.4,Baixo
2016,1,2016-06-01,Nordeste,BA,Salvador,Pública,3º ano,43181,4630,10.72,3903.57,68.25,52.3,Alto
2016,1,2016-06-01,Nordeste,BA,Salvador,Privada,3º ano,31065,1904,6.13,2128.7,52.35,71.5,Médio
2016,1,2016-06-01,Nordeste,BA,Feira de Santana,Pública,3º ano,8468,1105,13.06,2035.2,73.48,76.0,Crítico
2016,1,2016-06-01,Nordeste,BA,Feira de Santana,Privada,2º ano,46002,3123,6.79,1697.41,68.72,76.1,Médio
2016,1,2016-06-01,Nordeste,PE,Recife,Pública,1º ano,10321,809,7.84,3068.28,80.01,65.1,Médio
2016,1,2016-06-01,Nordeste,PE,Recife,Privada,1º ano,28312,141,0.5,1214.88,72.57,92.7,Baixo
2016,1,2016-06-01,Nordeste,PE,Jaboatão dos Guararapes,Pública,1º ano,40437,3706,9.17,3013.63,71.38,75.7,Alto
2016,1,2016-06-01,Nordeste,PE,Jaboatão dos Guararapes,Privada,1º ano,30236,1347,4.46,2910.41,54.59,82.1,Médio
2016,1,2016-06-01,Nordeste,CE,Fortaleza,Pública,1º ano,36684,2868,7.82,3906.33,59.29,63.3,Médio
2016,1,2016-06-01,Nordeste,CE,Fortaleza,Privada,2º ano,27816,164,0.59,3604.22,48.38,47.6,Baixo
2016,1,2016-06-01,Nordeste,CE,Juazeiro do Norte,Pública,2º ano,2115,215,10.2,2088.64,55.13,78.7,Alto
2016,1,2016-06-01,Nordeste,CE,Juazeiro do Norte,Privada,2º ano,26006,1240,4.77,3819.4,63.81,81.4,Médio
2016,1,2016-06-01,Nordeste,MA,São Luís,Pública,2º ano,23974,2132,8.9,2043.85,57.71,54.2,Alto
2016,1,2016-06-01,Nordeste,MA,São Luís,Privada,2º ano,49183,2653,5.4,2021.2,63.28,85.0,Médio
2016,1,2016-06-01,Nordeste,PB,João Pessoa,Pública,3º ano,27876,2163,7.76,3596.85,54.49,47.9,Médio
2016,1,2016-06-01,Nordeste,PB,João Pessoa,Privada,3º ano,31132,2373,7.62,3422.32,64.99,93.5,Médio
2016,1,2016-06-01,Centro-Oeste,DF,Brasília,Pública,1º ano,16112,1826,11.33,2917.87,61.45,51.2,Alto
2016,1,2016-06-01,Centro-Oeste,DF,Brasília,Privada,1º ano,714,12,1.76,3683.06,80.49,51.9,Baixo
2016,1,2016-06-01,Centro-Oeste,GO,Goiânia,Pública,3º ano,43816,4787,10.93,3633.15,52.64,69.4,Alto
2016,1,2016-06-01,Centro-Oeste,GO,Goiânia,Privada,1º ano,14207,467,3.29,3450.23,62.23,88.8,Baixo
2016,1,2016-06-01,Centro-Oeste,GO,Aparecida de Goiânia,Pública,3º ano,3061,383,12.51,946.45,58.14,68.8,Alto
2016,1,2016-06-01,Centro-Oeste,GO,Aparecida de Goiânia,Privada,2º ano,31727,586,1.85,2456.31,61.93,81.3,Baixo
2016,1,2016-06-01,Centro-Oeste,MT,Cuiabá,Pública,1º ano,22885,3132,13.69,2914.58,54.78,55.0,Crítico
2016,1,2016-06-01,Centro-Oeste,MT,Cuiabá,Privada,3º ano,38800,1244,3.21,2891.84,62.6,90.7,Baixo
2016,1,2016-06-01,Centro-Oeste,MS,Campo Grande,Pública,1º ano,36795,4248,11.55,2628.33,59.98,53.1,Alto
2016,1,2016-06-01,Centro-Oeste,MS,Campo Grande,Privada,2º ano,6888,319,4.63,4389.51,72.28,86.5,Médio
2016,1,2016-06-01,Sudeste,SP,São Paulo,Pública,1º ano,37920,4753,12.54,2800.46,60.43,65.6,Alto
2016,1,2016-06-01,Sudeste,SP,São Paulo,Privada,2º ano,24808,1860,7.5,1985.87,73.25,48.3,Médio
2016,1,2016-06-01,Sudeste,SP,Campinas,Pública,2º ano,39360,4028,10.24,2472.67,49.37,59.4,Alto
2016,1,2016-06-01,Sudeste,SP,Campinas,Privada,1º ano,49791,248,0.5,2935.77,70.41,58.4,Baixo
2016,1,2016-06-01,Sudeste,SP,Ribeirão Preto,Pública,3º ano,27555,2385,8.66,3970.94,47.71,46.1,Alto
2016,1,2016-06-01,Sudeste,SP,Ribeirão Preto,Privada,3º ano,28822,256,0.89,3135.15,75.5,94.2,Baixo
2016,1,2016-06-01,Sudeste,RJ,Rio de Janeiro,Pública,2º ano,9120,1147,12.58,2098.77,78.84,55.6,Alto
2016,1,2016-06-01,Sudeste,RJ,Rio de Janeiro,Privada,1º ano,18624,1160,6.23,2492.51,80.15,56.9,Médio
2016,1,2016-06-01,Sudeste,RJ,Niterói,Pública,3º ano,38483,3896,10.12,3410.84,44.36,77.9,Alto
2016,1,2016-06-01,Sudeste,RJ,Niterói,Privada,3º ano,47560,679,1.43,2086.17,54.0,62.9,Baixo
2016,1,2016-06-01,Sudeste,RJ,Nova Iguaçu,Pública,3º ano,37529,3819,10.18,2166.63,51.64,63.6,Alto
2016,1,2016-06-01,Sudeste,RJ,Nova Iguaçu,Privada,1º ano,7396,101,1.37,3558.57,61.55,49.4,Baixo
2016,1,2016-06-01,Sudeste,RJ,Petrópolis,Pública,2º ano,9506,855,9.0,3215.3,50.53,55.7,Alto
2016,1,2016-06-01,Sudeste,RJ,Petrópolis,Privada,1º ano,19814,1170,5.91,1967.3,53.67,54.8,Médio
2016,1,2016-06-01,Sudeste,MG,Belo Horizonte,Pública,2º ano,29462,4145,14.07,2057.02,75.17,47.7,Crítico
2016,1,2016-06-01,Sudeste,MG,Belo Horizonte,Privada,2º ano,1844,143,7.76,2762.8,61.57,55.1,Médio
2016,1,2016-06-01,Sudeste,MG,Uberlândia,Pública,3º ano,33094,4026,12.17,3186.19,53.98,79.7,Alto
2016,1,2016-06-01,Sudeste,MG,Uberlândia,Privada,1º ano,42225,1376,3.26,2708.17,82.61,81.6,Baixo
2016,1,2016-06-01,Sudeste,MG,Juiz de Fora,Pública,3º ano,36197,3898,10.77,3206.11,59.65,77.1,Alto
2016,1,2016-06-01,Sudeste,MG,Juiz de Fora,Privada,1º ano,19096,830,4.35,2621.13,56.26,65.8,Médio
2016,1,2016-06-01,Sudeste,ES,Vitória,Pública,2º ano,14093,1321,9.38,3072.43,74.81,50.8,Alto
2016,1,2016-06-01,Sudeste,ES,Vitória,Privada,1º ano,41013,2676,6.53,2011.38,55.02,48.6,Médio
2016,1,2016-06-01,Sudeste,ES,Vila Velha,Pública,1º ano,2573,263,10.26,1843.85,62.0,48.4,Alto
2016,1,2016-06-01,Sudeste,ES,Vila Velha,Privada,2º ano,13391,494,3.69,2143.39,67.17,47.7,Baixo
2016,1,2016-06-01,Sudeste,ES,Serra,Pública,2º ano,26977,2902,10.76,2710.01,68.28,81.6,Alto
2016,1,2016-06-01,Sudeste,ES,Serra,Privada,3º ano,19555,377,1.93,1791.06,72.71,50.2,Baixo
2016,1,2016-06-01,Sul,PR,Curitiba,Pública,3º ano,49405,4999,10.12,2304.68,53.5,74.5,Alto
2016,1,2016-06-01,Sul,PR,Curitiba,Privada,2º ano,36990,1677,4.53,3167.02,74.17,47.3,Médio
2016,1,2016-06-01,Sul,PR,Londrina,Pública,2º ano,5762,617,10.72,1618.07,72.1,85.7,Alto
2016,1,2016-06-01,Sul,PR,Londrina,Privada,2º ano,20649,1205,5.84,3110.33,67.59,58.4,Médio
2016,1,2016-06-01,Sul,SC,Florianópolis,Pública,3º ano,21907,2486,11.35,1661.67,54.9,68.8,Alto
2016,1,2016-06-01,Sul,SC,Florianópolis,Privada,2º ano,4752,125,2.63,2761.45,78.22,56.6,Baixo
